messid,pred_lat,pred_lng
573bf1d9864fce1a9af8c5c9,39.655014912332696,-104.99182442884155
573bf3533e952e19126b256a,39.632944812170706,-104.97965274604492
573c0cd0f0fe6e735a699b93,39.73848642066444,-104.99839483589778
573c1272f0fe6e735a6cb8bd,39.66935765165973,-105.00055493399874
573c8ea8864fce1a9a5fbf7a,39.7602475713262,-105.02510276482535
573c9148864fce1a9a616174,39.71794139605435,-105.02833582957732
573c939cf0fe6e735ac36de1,39.740476785894174,-105.04312687238549
573c9667f0fe6e735ac51891,39.63267841669758,-104.97958767455593
573c9892f0fe6e735ac6603f,39.76052923788335,-105.06977285761394
573c9d7b3e952e1912d9f567,39.756039857923945,-105.06852324401378
573cbc43f0fe6e735adabf38,39.79499402556863,-105.01481788791449
573cbc7ff0fe6e735adadeab,39.73777729117586,-104.9915584363864
573cc276864fce1a9a7dd272,39.7062404323212,-105.03626820653966
573cc3e1864fce1a9a7e8cac,39.638295495022504,-104.95292769534403
573cc5753e952e1912f0d833,39.68300875494909,-104.99019498905643
573ce369f0fe6e735aeeebd8,39.821313552698776,-105.20160021091914
573ce5ca3e952e191201235f,39.81754725389574,-105.19340409831234
573d44aa3e952e19123052b2,39.75997811419274,-105.03497404807686
573d45c5f0fe6e735a1f0ae6,39.791810806098844,-105.11783593019847
573d5b6f864fce1a9acb9d38,39.81112647691051,-105.05086129347085
573d5da8864fce1a9acccdda,39.83873600131828,-105.0753063623096
573d681d864fce1a9ad29b41,39.8030636071613,-105.04493439315938
573d6abaf0fe6e735a332b84,39.67204761590091,-105.00215977704039
573d6d113e952e191246d944,39.79714623137978,-105.0493847926148
573d6f69f0fe6e735a367295,39.79067702467748,-105.05290425657945
573d71d6f0fe6e735a384aee,39.78647918763595,-105.04190980141667
573d744bf0fe6e735a3a2223,39.744776953807495,-105.07290881943098
573d76d6f0fe6e735a3be643,39.77456581121208,-105.07355663988021
573d791c3e952e1912500c1b,39.74170645578311,-105.07761176163018
573d9819f0fe6e735a5490e8,39.78487930161598,-105.04769554426781
573d9a84f0fe6e735a564e8d,39.7367765171528,-105.02808474863
573da1c03e952e19126e2826,39.754539188268744,-105.07228750916816
573da452864fce1a9aff034f,39.77468948077245,-105.08927390753851
573da67a3e952e1912715bd7,39.733215278533244,-105.041026139821
573da8cff0fe6e735a5ff378,39.80393434056324,-105.04745311817389
573dd65e3e952e19128fefa4,39.74960178261432,-105.02622098477599
573df74a864fce1a9a339013,39.803341654439706,-105.04739987278799
573e02053e952e1912aa2a67,39.68231938865478,-105.01675359109827
573e04c4f0fe6e735a97fdd4,39.72893983323548,-105.02608136752556
573e1599864fce1a9a4439d7,39.80940789589725,-105.04844503706623
573e1655f0fe6e735aa12dda,39.75800051463545,-105.02936670034487
573e1c2c864fce1a9a479cc4,39.63799575099043,-104.96421991753719
573e209ff0fe6e735aa66d45,39.72905702538763,-104.98212387800645
573ead753e952e191202f749,39.80952124890397,-105.05245028658426
573eb17df0fe6e735af0c068,39.800272279499175,-105.04084009104632
573eb612f0fe6e735af34fd7,39.80211655058238,-105.04622853052895
573eb879f0fe6e735af4c839,39.77990621957111,-105.03260287115252
573ebac3864fce1a9a9a80ea,39.73410239216176,-104.99979216916422
573f08d3864fce1a9acf4c67,39.6909469733035,-104.99204462521175
573f2332864fce1a9adff7c9,39.690792011386,-104.99207197617507
573f412c3e952e191262f60c,39.820229871420615,-105.05204595804817
573f52e03e952e19126d3a01,39.741709078428876,-105.00233266911776
573f5b80f0fe6e735a5bc575,39.720350202394066,-105.01559509496394
573f6cb0f0fe6e735a647ef5,39.6909469733035,-104.99204462521175
573f888f3e952e1912888d09,39.81582737228411,-105.17077940533039
